,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
205,frozenset({'Init_Test_DrqobvatwhashXq'}),frozenset({'Init_Test_agNMkjzKPkEDKEv'}),0.4,0.29333333333333333,0.2,0.5,1.7045454545454546,0.08266666666666667,1.4133333333333333,0.6888888888888889
206,frozenset({'Init_Test_wYHMalpjmFMoSrw'}),frozenset({'Init_Test_GisqJogMpeIqvRH'}),0.29333333333333333,0.38666666666666666,0.2,0.6818181818181819,1.7633228840125394,0.0865777777777778,1.9276190476190478,0.6125786163522013
207,frozenset({'Init_Test_GisqJogMpeIqvRH'}),frozenset({'Init_Test_wYHMalpjmFMoSrw'}),0.38666666666666666,0.29333333333333333,0.2,0.5172413793103449,1.7633228840125392,0.0865777777777778,1.463809523809524,0.7057971014492755
208,frozenset({'Init_Test_eeZQbTysEftrBMM'}),frozenset({'Init_Test_JnQThYkFhklnBkE'}),0.29333333333333333,0.4,0.2,0.6818181818181819,1.7045454545454546,0.08266666666666667,1.885714285714286,0.5849056603773585
209,frozenset({'Init_Test_JnQThYkFhklnBkE'}),frozenset({'Init_Test_eeZQbTysEftrBMM'}),0.4,0.29333333333333333,0.2,0.5,1.7045454545454546,0.08266666666666667,1.4133333333333333,0.6888888888888889
210,frozenset({'Init_Test_LbIWuKdsAWxHame'}),frozenset({'Init_Test_GisqJogMpeIqvRH'}),0.25333333333333335,0.38666666666666666,0.2,0.7894736842105263,2.041742286751361,0.10204444444444445,2.913333333333333,0.6833333333333335
211,frozenset({'Init_Test_GisqJogMpeIqvRH'}),frozenset({'Init_Test_LbIWuKdsAWxHame'}),0.38666666666666666,0.25333333333333335,0.2,0.5172413793103449,2.041742286751361,0.10204444444444445,1.5466666666666666,0.8318840579710146
212,frozenset({'Init_Test_xuPmAdSlaGHsrOp'}),frozenset({'Init_Test_IWiMGlYhhuHGzmh'}),0.36,0.38666666666666666,0.2,0.5555555555555556,1.4367816091954024,0.06080000000000002,1.38,0.47500000000000014
213,frozenset({'Init_Test_IWiMGlYhhuHGzmh'}),frozenset({'Init_Test_xuPmAdSlaGHsrOp'}),0.38666666666666666,0.36,0.2,0.5172413793103449,1.4367816091954024,0.06080000000000002,1.3257142857142858,0.49565217391304367
214,frozenset({'Init_Test_pwgDTmRPSBLcZxH'}),frozenset({'Init_Test_VWiekrNVjEqDjhe'}),0.3333333333333333,0.36,0.2,0.6000000000000001,1.666666666666667,0.08000000000000002,1.6000000000000003,0.6
215,frozenset({'Init_Test_VWiekrNVjEqDjhe'}),frozenset({'Init_Test_pwgDTmRPSBLcZxH'}),0.36,0.3333333333333333,0.2,0.5555555555555556,1.6666666666666667,0.08000000000000002,1.5000000000000002,0.6250000000000001
216,frozenset({'Init_Test_pwgDTmRPSBLcZxH'}),frozenset({'Init_Test_YBEdStICRTVhROS'}),0.3333333333333333,0.37333333333333335,0.2,0.6000000000000001,1.6071428571428572,0.07555555555555557,1.566666666666667,0.5666666666666667
217,frozenset({'Init_Test_YBEdStICRTVhROS'}),frozenset({'Init_Test_pwgDTmRPSBLcZxH'}),0.37333333333333335,0.3333333333333333,0.2,0.5357142857142857,1.6071428571428572,0.07555555555555557,1.435897435897436,0.6028368794326241
218,frozenset({'Init_Test_bfddZrEQcOlIMgQ'}),frozenset({'Init_Test_JAHLIeaJzlwMkKC'}),0.29333333333333333,0.3333333333333333,0.2,0.6818181818181819,2.045454545454546,0.10222222222222224,2.095238095238096,0.7232704402515724
219,frozenset({'Init_Test_JAHLIeaJzlwMkKC'}),frozenset({'Init_Test_bfddZrEQcOlIMgQ'}),0.3333333333333333,0.29333333333333333,0.2,0.6000000000000001,2.045454545454546,0.10222222222222224,1.766666666666667,0.7666666666666667
220,frozenset({'Init_Test_DrqobvatwhashXq'}),frozenset({'Init_Test_HUrZvDcSsjBImmA'}),0.4,0.3333333333333333,0.2,0.5,1.5,0.06666666666666668,1.3333333333333335,0.5555555555555557
221,frozenset({'Init_Test_HUrZvDcSsjBImmA'}),frozenset({'Init_Test_DrqobvatwhashXq'}),0.3333333333333333,0.4,0.2,0.6000000000000001,1.5000000000000002,0.06666666666666668,1.5000000000000002,0.5
222,frozenset({'Init_Test_YlKfjVNdvJehuBG'}),frozenset({'Init_Test_zylSwftLlDENoPG'}),0.37333333333333335,0.29333333333333333,0.2,0.5357142857142857,1.8262987012987013,0.0904888888888889,1.522051282051282,0.7219858156028368
223,frozenset({'Init_Test_zylSwftLlDENoPG'}),frozenset({'Init_Test_YlKfjVNdvJehuBG'}),0.29333333333333333,0.37333333333333335,0.2,0.6818181818181819,1.8262987012987013,0.0904888888888889,1.9695238095238101,0.6402515723270441
224,frozenset({'Init_Test_xKeHIrsCYBLOsrn'}),frozenset({'Init_Test_JFrdeOvNotvnOWX'}),0.29333333333333333,0.3333333333333333,0.2,0.6818181818181819,2.045454545454546,0.10222222222222224,2.095238095238096,0.7232704402515724
