antecedent,consequent,confidence
['Init_Test_PvluLrGxFSeQXxs'],['Init_Test_bWTcEiwjInFaGFt'],5
['Init_Test_bWTcEiwjInFaGFt'],['Init_Test_PvluLrGxFSeQXxs'],6
['Init_Test_GisqJogMpeIqvRH'],['Init_Test_PFfiNytNdPdKrFD'],5
['Init_Test_PFfiNytNdPdKrFD'],['Init_Test_GisqJogMpeIqvRH'],6
['Init_Test_YbCZcRvCjFsYRCB'],['Init_Test_mxEKzQfDmgHjcXv'],6
['Init_Test_mxEKzQfDmgHjcXv'],['Init_Test_YbCZcRvCjFsYRCB'],6
['Init_Test_wjYWQQacZeaOmwt'],['Init_Test_zunyUarEjTVTaVo'],6
['Init_Test_zunyUarEjTVTaVo'],['Init_Test_wjYWQQacZeaOmwt'],5
['Init_Test_wjYWQQacZeaOmwt'],['Init_Test_NtSokjJsEYEzfkM'],6
['Init_Test_NtSokjJsEYEzfkM'],['Init_Test_wjYWQQacZeaOmwt'],6
['Init_Test_PeYvNviBcAOXcoQ'],['Init_Test_SEChSSazcWoSnbg'],6
['Init_Test_SEChSSazcWoSnbg'],['Init_Test_PeYvNviBcAOXcoQ'],7
['Init_Test_SjicKPSimIyjkxp'],['Init_Test_jmJAVWeUNbcPqXd'],6
['Init_Test_jmJAVWeUNbcPqXd'],['Init_Test_SjicKPSimIyjkxp'],6
['Init_Test_FmaHzuORbxDYJBz'],['Init_Test_aaLLvKaehVoHMCk'],6
['Init_Test_aaLLvKaehVoHMCk'],['Init_Test_FmaHzuORbxDYJBz'],6
['Init_Test_DrqobvatwhashXq'],['Init_Test_lzlOkVNXTTYKyxA'],5
['Init_Test_lzlOkVNXTTYKyxA'],['Init_Test_DrqobvatwhashXq'],6
['Init_Test_FaWiZOhkQOwodyQ'],['Init_Test_lfljOrnuYZfkxTz'],6
['Init_Test_lfljOrnuYZfkxTz'],['Init_Test_FaWiZOhkQOwodyQ'],6
['Init_Test_HSAPVGNhfjOvyJc'],['Init_Test_lzlOkVNXTTYKyxA'],6
['Init_Test_lzlOkVNXTTYKyxA'],['Init_Test_HSAPVGNhfjOvyJc'],6
['Init_Test_yIFGPnTAtmqMSlb'],['Init_Test_vOPjhtZSHmDWEtj'],6
['Init_Test_vOPjhtZSHmDWEtj'],['Init_Test_yIFGPnTAtmqMSlb'],5
['Init_Test_vOPjhtZSHmDWEtj'],['Init_Test_ZaaJgjRZbnmpkTR'],5
['Init_Test_ZaaJgjRZbnmpkTR'],['Init_Test_vOPjhtZSHmDWEtj'],6
['Init_Test_PPMzATzzBscxtMR'],['Init_Test_bspxwVBudWSqtEL'],7
['Init_Test_bspxwVBudWSqtEL'],['Init_Test_PPMzATzzBscxtMR'],6
['Init_Test_gLAoYFSOjTYvgTY'],['Init_Test_OHcXnbpHqAOjgYK'],7
['Init_Test_OHcXnbpHqAOjgYK'],['Init_Test_gLAoYFSOjTYvgTY'],6
['Init_Test_arSElByppTZZTIT'],['Init_Test_ZlBVXDLGHofwCAy'],7
['Init_Test_ZlBVXDLGHofwCAy'],['Init_Test_arSElByppTZZTIT'],5
['Init_Test_YEABvdiyYOwNYFM'],['Init_Test_xvoDMYHmjsXLNQS'],6
['Init_Test_xvoDMYHmjsXLNQS'],['Init_Test_YEABvdiyYOwNYFM'],7
['Init_Test_DIYXVNmJHMsGaCH'],['Init_Test_xvoDMYHmjsXLNQS'],5
['Init_Test_xvoDMYHmjsXLNQS'],['Init_Test_DIYXVNmJHMsGaCH'],7
['Init_Test_JnQThYkFhklnBkE'],['Init_Test_bylPEMradeCDval'],5
['Init_Test_bylPEMradeCDval'],['Init_Test_JnQThYkFhklnBkE'],7
['Init_Test_IdFoplWtHsIjtMd'],['Init_Test_LgTBrSAZPoCXkEf'],7
['Init_Test_LgTBrSAZPoCXkEf'],['Init_Test_IdFoplWtHsIjtMd'],6
['Init_Test_oiQfWBMXbkvnRQg'],['Init_Test_KtMQDPfEzRsdCgQ'],7
['Init_Test_KtMQDPfEzRsdCgQ'],['Init_Test_oiQfWBMXbkvnRQg'],6
['Init_Test_glLDnYWkrBHFjtM'],['Init_Test_gqUpOOhOyBHuqIO'],6
['Init_Test_gqUpOOhOyBHuqIO'],['Init_Test_glLDnYWkrBHFjtM'],7
['Init_Test_ezwMfXJIOBGCSAn'],['Init_Test_pyJbOdVsthnUDFy'],7
['Init_Test_pyJbOdVsthnUDFy'],['Init_Test_ezwMfXJIOBGCSAn'],6
['Init_Test_ZlBVXDLGHofwCAy'],['Init_Test_YHVecbOeLlErIkO'],6
['Init_Test_YHVecbOeLlErIkO'],['Init_Test_ZlBVXDLGHofwCAy'],7
['Init_Test_YbVLFqWwJFidSmB'],['Init_Test_LjOhIHgKkRAwewb'],7
['Init_Test_LjOhIHgKkRAwewb'],['Init_Test_YbVLFqWwJFidSmB'],5
['Init_Test_OHcXnbpHqAOjgYK'],['Init_Test_psuRuyspnPwkqoB'],5
['Init_Test_psuRuyspnPwkqoB'],['Init_Test_OHcXnbpHqAOjgYK'],7
['Init_Test_PvluLrGxFSeQXxs'],['Init_Test_tTVSSMTfxZgkoMq'],5
['Init_Test_tTVSSMTfxZgkoMq'],['Init_Test_PvluLrGxFSeQXxs'],7
['Init_Test_gJHbSpamEEMCIcx'],['Init_Test_CqJtQQHCjcPvzrt'],7
['Init_Test_CqJtQQHCjcPvzrt'],['Init_Test_gJHbSpamEEMCIcx'],8
['Init_Test_SkOyIqWofrPNMGj'],['Init_Test_CEAtnglhQIUaeCb'],8
['Init_Test_CEAtnglhQIUaeCb'],['Init_Test_SkOyIqWofrPNMGj'],6
['Init_Test_JnQThYkFhklnBkE'],['Init_Test_IBevczmnbTZVAUk'],5
['Init_Test_IBevczmnbTZVAUk'],['Init_Test_JnQThYkFhklnBkE'],6
['Init_Test_DMrSWGOzxPHFIVZ'],['Init_Test_JnQThYkFhklnBkE'],6
['Init_Test_JnQThYkFhklnBkE'],['Init_Test_DMrSWGOzxPHFIVZ'],5
['Init_Test_DrqobvatwhashXq'],['Init_Test_iRyrVphedJDMmVv'],5
['Init_Test_iRyrVphedJDMmVv'],['Init_Test_DrqobvatwhashXq'],6
['Init_Test_PeYvNviBcAOXcoQ'],['Init_Test_zVbUgECtxHLYBTb'],5
['Init_Test_zVbUgECtxHLYBTb'],['Init_Test_PeYvNviBcAOXcoQ'],6
['Init_Test_PvluLrGxFSeQXxs'],['Init_Test_GVoUuIBODnykVOK'],5
['Init_Test_GVoUuIBODnykVOK'],['Init_Test_PvluLrGxFSeQXxs'],6
['Init_Test_KAYLZBNAScmibqR'],['Init_Test_LjOhIHgKkRAwewb'],6
['Init_Test_LjOhIHgKkRAwewb'],['Init_Test_KAYLZBNAScmibqR'],5
['Init_Test_KAYLZBNAScmibqR'],['Init_Test_DrqobvatwhashXq'],6
['Init_Test_DrqobvatwhashXq'],['Init_Test_KAYLZBNAScmibqR'],5
['Init_Test_RvknSxVrftICmGU'],['Init_Test_ltoPwyUiYPjLgfe'],6
['Init_Test_ltoPwyUiYPjLgfe'],['Init_Test_RvknSxVrftICmGU'],6
['Init_Test_OHcXnbpHqAOjgYK'],['Init_Test_ltoPwyUiYPjLgfe'],5
['Init_Test_ltoPwyUiYPjLgfe'],['Init_Test_OHcXnbpHqAOjgYK'],6
['Init_Test_PuaukeCIdaplBqm'],['Init_Test_zVbUgECtxHLYBTb'],6
['Init_Test_zVbUgECtxHLYBTb'],['Init_Test_PuaukeCIdaplBqm'],6
['Init_Test_zAtrSRgOTSLorQD'],['Init_Test_YdbFZEJYFvuvivW'],6
['Init_Test_YdbFZEJYFvuvivW'],['Init_Test_zAtrSRgOTSLorQD'],6
['Init_Test_lTmhifHWkAVkINU'],['Init_Test_rFmXxEViWgGERsA'],7
['Init_Test_rFmXxEViWgGERsA'],['Init_Test_lTmhifHWkAVkINU'],7
['Init_Test_bzGPToJBPlMGAIz'],['Init_Test_vjLBbwDZWpxoxhc'],6
['Init_Test_vjLBbwDZWpxoxhc'],['Init_Test_bzGPToJBPlMGAIz'],7
['Init_Test_IBevczmnbTZVAUk'],['Init_Test_RkYugaQbZUmPhod'],6
['Init_Test_RkYugaQbZUmPhod'],['Init_Test_IBevczmnbTZVAUk'],7
['Init_Test_JnQThYkFhklnBkE'],['Init_Test_FIfauipIynCmuqZ'],5
['Init_Test_FIfauipIynCmuqZ'],['Init_Test_JnQThYkFhklnBkE'],7
['Init_Test_YdbFZEJYFvuvivW'],['Init_Test_fkglrnAmkqsYSqt'],6
['Init_Test_fkglrnAmkqsYSqt'],['Init_Test_YdbFZEJYFvuvivW'],7
['Init_Test_JnQThYkFhklnBkE'],['Init_Test_wHaXUmojqHiwbvG'],5
['Init_Test_wHaXUmojqHiwbvG'],['Init_Test_JnQThYkFhklnBkE'],7
['Init_Test_DIYXVNmJHMsGaCH'],['Init_Test_xjwfCRwPqToCZJG'],5
['Init_Test_xjwfCRwPqToCZJG'],['Init_Test_DIYXVNmJHMsGaCH'],7
['Init_Test_DrqobvatwhashXq'],['Init_Test_mBytVHTJAEBiJqj'],5
['Init_Test_mBytVHTJAEBiJqj'],['Init_Test_DrqobvatwhashXq'],8
['Init_Test_JnQThYkFhklnBkE'],['Init_Test_DrqobvatwhashXq'],6
['Init_Test_DrqobvatwhashXq'],['Init_Test_JnQThYkFhklnBkE'],6
['Init_Test_BLsEsxPUJKHkuhg'],['Init_Test_DrqobvatwhashXq'],5
['Init_Test_DrqobvatwhashXq'],['Init_Test_BLsEsxPUJKHkuhg'],5
['Init_Test_BLsEsxPUJKHkuhg'],['Init_Test_JnQThYkFhklnBkE'],5
['Init_Test_JnQThYkFhklnBkE'],['Init_Test_BLsEsxPUJKHkuhg'],5
['Init_Test_qjOfEAtXiqyJCki'],['Init_Test_DrqobvatwhashXq'],6
['Init_Test_DrqobvatwhashXq'],['Init_Test_qjOfEAtXiqyJCki'],5
['Init_Test_lIeddceFXnNHkcA'],['Init_Test_DrqobvatwhashXq'],6
['Init_Test_DrqobvatwhashXq'],['Init_Test_lIeddceFXnNHkcA'],5
['Init_Test_BLsEsxPUJKHkuhg'],['Init_Test_nzpUKpJHPzaAOwO'],5
['Init_Test_nzpUKpJHPzaAOwO'],['Init_Test_BLsEsxPUJKHkuhg'],7
['Init_Test_HOXNuzuGqdeTFGo'],['Init_Test_GLnJcxTzltwYWcH'],7
['Init_Test_GLnJcxTzltwYWcH'],['Init_Test_HOXNuzuGqdeTFGo'],6
['Init_Test_YlKfjVNdvJehuBG'],['Init_Test_OHcXnbpHqAOjgYK'],5
['Init_Test_OHcXnbpHqAOjgYK'],['Init_Test_YlKfjVNdvJehuBG'],5
['Init_Test_LusjEZkDsZvXALf'],['Init_Test_DIYXVNmJHMsGaCH'],6
['Init_Test_DIYXVNmJHMsGaCH'],['Init_Test_LusjEZkDsZvXALf'],6
['Init_Test_LusjEZkDsZvXALf'],['Init_Test_eaikHWIIpKsHsTR'],6
['Init_Test_eaikHWIIpKsHsTR'],['Init_Test_LusjEZkDsZvXALf'],6
['Init_Test_yIwWcprtwPqEjzq'],['Init_Test_iTnkyIDAvUXgZBD'],6
['Init_Test_iTnkyIDAvUXgZBD'],['Init_Test_yIwWcprtwPqEjzq'],6
['Init_Test_bKxCVtAMDcFEobw'],['Init_Test_DIYXVNmJHMsGaCH'],6
['Init_Test_DIYXVNmJHMsGaCH'],['Init_Test_bKxCVtAMDcFEobw'],6
['Init_Test_PvluLrGxFSeQXxs'],['Init_Test_bKxCVtAMDcFEobw'],5
['Init_Test_bKxCVtAMDcFEobw'],['Init_Test_PvluLrGxFSeQXxs'],6
['Init_Test_PvluLrGxFSeQXxs'],['Init_Test_MmtyLgfhPhkruFC'],5
['Init_Test_MmtyLgfhPhkruFC'],['Init_Test_PvluLrGxFSeQXxs'],6
['Init_Test_vYSwysSCmBverWf'],['Init_Test_VLcYYTozbwYUbtj'],6
['Init_Test_VLcYYTozbwYUbtj'],['Init_Test_vYSwysSCmBverWf'],7
['Init_Test_vYSwysSCmBverWf'],['Init_Test_IGztaxHaFZfoNZx'],6
['Init_Test_IGztaxHaFZfoNZx'],['Init_Test_vYSwysSCmBverWf'],6
['Init_Test_OHcXnbpHqAOjgYK'],['Init_Test_jpHxqEKClpUCyMI'],6
['Init_Test_jpHxqEKClpUCyMI'],['Init_Test_OHcXnbpHqAOjgYK'],7
['Init_Test_VWiekrNVjEqDjhe'],['Init_Test_yBTnuxaBChKuDpt'],6
['Init_Test_yBTnuxaBChKuDpt'],['Init_Test_VWiekrNVjEqDjhe'],7
['Init_Test_zunyUarEjTVTaVo'],['Init_Test_FrzttUlpKMzEMDB'],6
['Init_Test_FrzttUlpKMzEMDB'],['Init_Test_zunyUarEjTVTaVo'],7
['Init_Test_lfFEgbrfmpxrMYI'],['Init_Test_nTyqVsDzLqqJdqi'],7
['Init_Test_nTyqVsDzLqqJdqi'],['Init_Test_lfFEgbrfmpxrMYI'],6
['Init_Test_YlKfjVNdvJehuBG'],['Init_Test_UEFvFOCCdJCawbz'],6
['Init_Test_UEFvFOCCdJCawbz'],['Init_Test_YlKfjVNdvJehuBG'],8
['Init_Test_bWTcEiwjInFaGFt'],['Init_Test_JlfFuZGBPSHPtUE'],6
['Init_Test_JlfFuZGBPSHPtUE'],['Init_Test_bWTcEiwjInFaGFt'],8
['Init_Test_LusjEZkDsZvXALf'],['Init_Test_nIFVIRyWeHsDDrN'],6
['Init_Test_nIFVIRyWeHsDDrN'],['Init_Test_LusjEZkDsZvXALf'],8
['Init_Test_nKhtqDhAqhpXRoB'],['Init_Test_FxpkRAMNRiqWfMC'],6
['Init_Test_FxpkRAMNRiqWfMC'],['Init_Test_nKhtqDhAqhpXRoB'],6
['Init_Test_JnQThYkFhklnBkE'],['Init_Test_ibIqTWdBvJwEFFx'],5
['Init_Test_ibIqTWdBvJwEFFx'],['Init_Test_JnQThYkFhklnBkE'],6
['Init_Test_ESrRXcDjxQyzIue'],['Init_Test_eHJGbynCwPneTxa'],6
['Init_Test_eHJGbynCwPneTxa'],['Init_Test_ESrRXcDjxQyzIue'],6
['Init_Test_NVwMNFjrlfLBQDk'],['Init_Test_XioEgwgXzUatNlL'],6
['Init_Test_XioEgwgXzUatNlL'],['Init_Test_NVwMNFjrlfLBQDk'],6
['Init_Test_DrqobvatwhashXq'],['Init_Test_FuqDTdfadicjACh'],5
['Init_Test_FuqDTdfadicjACh'],['Init_Test_DrqobvatwhashXq'],6
['Init_Test_JnQThYkFhklnBkE'],['Init_Test_nxwxgclARVLKmHA'],5
['Init_Test_nxwxgclARVLKmHA'],['Init_Test_JnQThYkFhklnBkE'],7
['Init_Test_agNMkjzKPkEDKEv'],['Init_Test_DrqobvatwhashXq'],7
['Init_Test_DrqobvatwhashXq'],['Init_Test_agNMkjzKPkEDKEv'],5
['Init_Test_GisqJogMpeIqvRH'],['Init_Test_wYHMalpjmFMoSrw'],5
['Init_Test_wYHMalpjmFMoSrw'],['Init_Test_GisqJogMpeIqvRH'],7
['Init_Test_eeZQbTysEftrBMM'],['Init_Test_JnQThYkFhklnBkE'],7
['Init_Test_JnQThYkFhklnBkE'],['Init_Test_eeZQbTysEftrBMM'],5
['Init_Test_GisqJogMpeIqvRH'],['Init_Test_LbIWuKdsAWxHame'],5
['Init_Test_LbIWuKdsAWxHame'],['Init_Test_GisqJogMpeIqvRH'],8
['Init_Test_xuPmAdSlaGHsrOp'],['Init_Test_IWiMGlYhhuHGzmh'],6
['Init_Test_IWiMGlYhhuHGzmh'],['Init_Test_xuPmAdSlaGHsrOp'],5
['Init_Test_VWiekrNVjEqDjhe'],['Init_Test_pwgDTmRPSBLcZxH'],6
['Init_Test_pwgDTmRPSBLcZxH'],['Init_Test_VWiekrNVjEqDjhe'],6
['Init_Test_YBEdStICRTVhROS'],['Init_Test_pwgDTmRPSBLcZxH'],5
['Init_Test_pwgDTmRPSBLcZxH'],['Init_Test_YBEdStICRTVhROS'],6
['Init_Test_JAHLIeaJzlwMkKC'],['Init_Test_bfddZrEQcOlIMgQ'],6
['Init_Test_bfddZrEQcOlIMgQ'],['Init_Test_JAHLIeaJzlwMkKC'],7
['Init_Test_DrqobvatwhashXq'],['Init_Test_HUrZvDcSsjBImmA'],5
['Init_Test_HUrZvDcSsjBImmA'],['Init_Test_DrqobvatwhashXq'],6
['Init_Test_YlKfjVNdvJehuBG'],['Init_Test_zylSwftLlDENoPG'],5
['Init_Test_zylSwftLlDENoPG'],['Init_Test_YlKfjVNdvJehuBG'],7
['Init_Test_JFrdeOvNotvnOWX'],['Init_Test_xKeHIrsCYBLOsrn'],6
['Init_Test_xKeHIrsCYBLOsrn'],['Init_Test_JFrdeOvNotvnOWX'],7
['Init_Test_teTfctWVydutsaI'],['Init_Test_PFfiNytNdPdKrFD'],7
['Init_Test_PFfiNytNdPdKrFD'],['Init_Test_teTfctWVydutsaI'],6
['Init_Test_vOPjhtZSHmDWEtj'],['Init_Test_hdScBoXCdMTveEZ'],6
['Init_Test_hdScBoXCdMTveEZ'],['Init_Test_vOPjhtZSHmDWEtj'],6
['Init_Test_JFrdeOvNotvnOWX'],['Init_Test_YBEdStICRTVhROS'],6
['Init_Test_YBEdStICRTVhROS'],['Init_Test_JFrdeOvNotvnOWX'],5
['Init_Test_PvluLrGxFSeQXxs'],['Init_Test_JFrdeOvNotvnOWX'],5
['Init_Test_JFrdeOvNotvnOWX'],['Init_Test_PvluLrGxFSeQXxs'],6
['Init_Test_VWiekrNVjEqDjhe'],['Init_Test_bqMaiLbADYmLGPg'],6
['Init_Test_bqMaiLbADYmLGPg'],['Init_Test_VWiekrNVjEqDjhe'],8
['Init_Test_PeYvNviBcAOXcoQ'],['Init_Test_JAHLIeaJzlwMkKC'],5
['Init_Test_JAHLIeaJzlwMkKC'],['Init_Test_PeYvNviBcAOXcoQ'],6
['Init_Test_wgBjpWsLnFBWkRf'],['Init_Test_wepnFjTZBcLruVd'],6
['Init_Test_wepnFjTZBcLruVd'],['Init_Test_wgBjpWsLnFBWkRf'],6
