antecedent,confidence,consequent
['Init_Test_lzlOkVNXTTYKyxA'],6,['Init_Test_DrqobvatwhashXq']
['Init_Test_DrqobvatwhashXq'],5,['Init_Test_lzlOkVNXTTYKyxA']
['Init_Test_lfljOrnuYZfkxTz'],6,['Init_Test_FaWiZOhkQOwodyQ']
['Init_Test_FaWiZOhkQOwodyQ'],6,['Init_Test_lfljOrnuYZfkxTz']
['Init_Test_lzlOkVNXTTYKyxA'],6,['Init_Test_HSAPVGNhfjOvyJc']
['Init_Test_HSAPVGNhfjOvyJc'],6,['Init_Test_lzlOkVNXTTYKyxA']
['Init_Test_vOPjhtZSHmDWEtj'],5,['Init_Test_yIFGPnTAtmqMSlb']
['Init_Test_yIFGPnTAtmqMSlb'],6,['Init_Test_vOPjhtZSHmDWEtj']
['Init_Test_ZaaJgjRZbnmpkTR'],6,['Init_Test_vOPjhtZSHmDWEtj']
['Init_Test_vOPjhtZSHmDWEtj'],5,['Init_Test_ZaaJgjRZbnmpkTR']
['Init_Test_bspxwVBudWSqtEL'],6,['Init_Test_PPMzATzzBscxtMR']
['Init_Test_PPMzATzzBscxtMR'],7,['Init_Test_bspxwVBudWSqtEL']
['Init_Test_OHcXnbpHqAOjgYK'],6,['Init_Test_gLAoYFSOjTYvgTY']
['Init_Test_gLAoYFSOjTYvgTY'],7,['Init_Test_OHcXnbpHqAOjgYK']
['Init_Test_ZlBVXDLGHofwCAy'],5,['Init_Test_arSElByppTZZTIT']
['Init_Test_arSElByppTZZTIT'],7,['Init_Test_ZlBVXDLGHofwCAy']
['Init_Test_xvoDMYHmjsXLNQS'],7,['Init_Test_YEABvdiyYOwNYFM']
['Init_Test_YEABvdiyYOwNYFM'],6,['Init_Test_xvoDMYHmjsXLNQS']
['Init_Test_xvoDMYHmjsXLNQS'],7,['Init_Test_DIYXVNmJHMsGaCH']
['Init_Test_DIYXVNmJHMsGaCH'],5,['Init_Test_xvoDMYHmjsXLNQS']
['Init_Test_bylPEMradeCDval'],7,['Init_Test_JnQThYkFhklnBkE']
['Init_Test_JnQThYkFhklnBkE'],5,['Init_Test_bylPEMradeCDval']
['Init_Test_IdFoplWtHsIjtMd'],7,['Init_Test_LgTBrSAZPoCXkEf']
['Init_Test_LgTBrSAZPoCXkEf'],6,['Init_Test_IdFoplWtHsIjtMd']
['Init_Test_KtMQDPfEzRsdCgQ'],6,['Init_Test_oiQfWBMXbkvnRQg']
['Init_Test_oiQfWBMXbkvnRQg'],7,['Init_Test_KtMQDPfEzRsdCgQ']
['Init_Test_gqUpOOhOyBHuqIO'],7,['Init_Test_glLDnYWkrBHFjtM']
['Init_Test_glLDnYWkrBHFjtM'],6,['Init_Test_gqUpOOhOyBHuqIO']
['Init_Test_ezwMfXJIOBGCSAn'],7,['Init_Test_pyJbOdVsthnUDFy']
